Date,Power655
1-8-2017,05-10-14-23-24-38-35
3-8-2017,04-09-24-25-27-45-40
5-8-2017,01-05-11-32-40-45-43
8-8-2017,19-36-39-41-46-51-38
10-8-2017,10-11-19-41-50-54-03
12-8-2017,06-16-20-32-38-51-34
15-8-2017,07-11-19-32-33-51-30
17-8-2017,11-12-20-30-32-34-53
19-8-2017,07-11-13-15-26-51-36
22-8-2017,10-24-31-32-38-44-14
24-8-2017,05-16-18-37-42-46-10
26-8-2017,17-25-30-31-36-41-20
29-8-2017,04-11-15-23-24-41-44
31-8-2017,08-20-27-35-36-47-18
2-9-2017,05-09-11-18-19-37-50
5-9-2017,01-02-08-13-23-39-09
7-9-2017,04-18-22-31-32-40-08
9-9-2017,01-15-23-36-43-54-12
12-9-2017,06-10-12-47-48-51-35
14-9-2017,22-23-32-43-44-51-15
16-9-2017,09-12-21-26-29-52-24
19-9-2017,03-32-36-41-44-53-45
21-9-2017,09-12-16-24-43-51-39
23-9-2017,07-08-27-36-44-53-49
26-9-2017,14-15-18-30-36-49-19
28-9-2017,20-27-28-31-39-47-10
30-9-2017,04-17-23-25-34-46-24
3-10-2017,21-31-35-41-46-50-23
5-10-2017,01-03-14-19-35-41-20
7-10-2017,31-34-40-42-43-49-16
10-10-2017,29-33-43-44-45-50-41
12-10-2017,05-08-11-31-37-42-52
14-10-2017,14-18-29-35-44-49-54
17-10-2017,01-26-36-40-50-54-31
19-10-2017,06-15-17-24-40-45-39
21-10-2017,04-09-13-16-18-49-30
24-10-2017,01-02-09-13-32-35-52
26-10-2017,02-10-15-30-34-50-03
28-10-2017,13-18-35-36-41-48-47
31-10-2017,07-13-24-45-47-52-33
2-11-2017,03-09-12-21-51-52-07
4-11-2017,02-08-12-44-46-52-09
7-11-2017,19-32-36-37-42-54-28
9-11-2017,02-03-06-23-34-36-50
11-11-2017,12-26-33-35-36-44-01
14-11-2017,20-24-29-41-47-49-22
16-11-2017,01-16-22-25-47-48-21
18-11-2017,11-12-26-42-50-54-17
21-11-2017,05-08-23-37-38-54-55
23-11-2017,01-02-03-18-25-50-14
25-11-2017,02-09-16-46-52-55-50
28-11-2017,02-19-39-49-51-53-20
30-11-2017,05-13-26-37-53-55-28
2-12-2017,09-37-45-50-53-54-40
5-12-2017,27-38-40-42-46-55-05
7-12-2017,03-14-26-35-44-54-25
9-12-2017,05-34-35-42-49-52-21
12-12-2017,06-07-08-21-32-39-27
14-12-2017,11-12-22-28-46-50-07
16-12-2017,05-23-37-41-43-53-25
19-12-2017,02-03-20-25-38-44-12
21-12-2017,22-23-27-35-37-46-19
23-12-2017,07-08-09-13-28-44-12
26-12-2017,07-11-13-18-26-42-49
28-12-2017,07-18-26-29-31-35-34
30-12-2017,08-09-36-37-39-50-07
2-1-2018,04-07-08-34-37-47-24
4-1-2018,01-07-31-35-46-55-51
6-1-2018,04-11-24-35-41-45-17
9-1-2018,18-25-28-46-50-51-15
11-1-2018,04-07-30-35-37-45-01
13-1-2018,03-21-25-26-51-55-37
16-1-2018,06-27-33-41-42-49-22
18-1-2018,12-24-28-30-36-39-15
20-1-2018,02-07-15-16-41-45-19
23-1-2018,03-10-15-23-41-53-35
25-1-2018,01-10-30-44-45-50-04
27-1-2018,21-26-36-38-40-50-11
30-1-2018,15-19-24-51-53-55-29
1-2-2018,01-07-08-09-39-43-52
3-2-2018,12-29-42-48-54-55-18
6-2-2018,01-20-29-31-43-53-16
8-2-2018,21-22-29-37-41-50-33
10-2-2018,08-10-19-25-36-46-07
13-2-2018,09-25-26-30-42-54-19
17-2-2018,16-22-28-29-35-43-45
20-2-2018,01-02-21-24-50-52-33
22-2-2018,11-14-32-36-42-48-20
24-2-2018,05-07-24-32-45-49-01
27-2-2018,08-16-23-28-44-49-45
1-3-2018,04-05-07-17-20-38-09
3-3-2018,04-10-32-37-47-52-49
6-3-2018,02-06-13-22-40-48-12
8-3-2018,14-17-18-23-41-52-40
10-3-2018,09-20-27-31-48-49-42
13-3-2018,01-02-17-46-47-49-44
15-3-2018,15-20-23-28-39-49-19
17-3-2018,03-14-28-35-50-52-29
20-3-2018,11-40-43-46-49-55-37
22-3-2018,01-08-24-33-34-41-20
24-3-2018,01-30-38-45-48-50-12
27-3-2018,09-13-14-15-54-55-22
29-3-2018,05-27-35-39-46-52-31
31-3-2018,03-07-31-43-51-53-26
3-4-2018,20-21-39-42-51-53-01
5-4-2018,07-09-17-25-31-32-06
7-4-2018,12-24-33-34-36-53-05
10-4-2018,01-22-25-31-36-48-41
12-4-2018,04-29-35-37-42-54-19
14-4-2018,02-10-14-26-45-54-20
17-4-2018,02-10-26-27-31-38-39
19-4-2018,04-17-19-35-49-55-09
21-4-2018,16-18-41-43-46-55-35
24-4-2018,17-18-24-40-41-46-06
26-4-2018,23-26-29-31-36-54-55
28-4-2018,12-19-22-29-32-46-25
1-5-2018,01-07-20-23-25-38-14
3-5-2018,23-27-33-37-39-49-44
5-5-2018,16-32-33-37-40-48-15
8-5-2018,03-16-23-24-38-42-48
10-5-2018,02-06-08-34-39-43-11
12-5-2018,01-09-26-38-54-55-51
15-5-2018,03-06-29-37-44-49-24
17-5-2018,13-31-38-45-53-55-46
19-5-2018,33-35-45-52-53-55-25
22-5-2018,04-05-08-17-35-47-39
24-5-2018,24-25-26-29-36-48-40
26-5-2018,07-12-28-31-40-44-15
29-5-2018,09-13-17-18-46-50-26
31-5-2018,03-15-18-25-26-29-19
2-6-2018,05-07-17-22-32-33-06
5-6-2018,11-21-26-32-51-52-05
7-6-2018,11-16-18-26-46-47-42
9-6-2018,09-23-25-39-52-53-38
12-6-2018,04-13-23-27-29-35-14
14-6-2018,03-15-32-45-48-54-55
16-6-2018,14-15-21-30-44-47-48
19-6-2018,16-17-31-37-41-52-34
21-6-2018,02-08-19-23-25-33-32
23-6-2018,06-08-13-23-46-55-01
26-6-2018,17-18-21-39-40-43-03
28-6-2018,11-31-33-43-48-51-23
30-6-2018,03-12-23-24-30-33-01
3-7-2018,30-32-34-47-48-49-50
5-7-2018,04-15-22-24-43-51-48
7-7-2018,02-30-45-48-49-53-41
10-7-2018,06-10-16-20-27-29-24
12-7-2018,08-15-18-21-24-49-22
14-7-2018,04-19-23-34-38-50-01
17-7-2018,05-14-22-27-31-40-48
19-7-2018,11-13-28-34-44-47-10
21-7-2018,07-31-33-37-46-52-28
24-7-2018,11-18-34-37-50-53-20
26-7-2018,21-24-33-37-40-46-52
28-7-2018,11-16-22-25-30-40-09
31-7-2018,01-05-27-31-47-50-41
2-8-2018,06-11-16-17-41-55-07
4-8-2018,11-12-24-32-41-48-03
7-8-2018,03-09-15-20-39-49-04
9-8-2018,24-29-32-33-49-55-09
11-8-2018,16-17-31-33-42-44-14
14-8-2018,29-30-36-38-45-52-46
16-8-2018,06-10-34-46-48-51-47
18-8-2018,07-33-36-39-51-55-11
21-8-2018,09-12-14-23-32-46-31
23-8-2018,14-18-27-38-39-53-02
25-8-2018,10-11-15-32-40-48-27
28-8-2018,02-10-15-31-39-48-23
30-8-2018,05-22-28-42-49-54-36
1-9-2018,02-08-20-21-28-36-05
4-9-2018,08-18-20-29-34-37-51
6-9-2018,04-11-15-21-24-27-07
8-9-2018,09-11-12-24-35-43-15
11-9-2018,13-17-28-42-45-49-50
13-9-2018,04-06-07-26-40-44-09
15-9-2018,02-05-28-30-46-50-49
18-9-2018,08-21-32-43-48-53-38
20-9-2018,03-32-35-46-47-49-51
22-9-2018,01-08-17-28-40-50-21
25-9-2018,02-03-06-13-14-17-09
27-9-2018,08-12-29-35-51-54-34
29-9-2018,03-07-12-32-34-55-38
2-10-2018,03-07-28-32-33-37-22
4-10-2018,03-09-12-17-34-42-46
6-10-2018,05-06-16-42-48-51-03
9-10-2018,10-27-46-50-51-55-01
11-10-2018,05-16-17-37-46-49-35
13-10-2018,12-21-23-44-47-48-43
16-10-2018,05-28-29-34-42-46-17
18-10-2018,01-11-22-34-42-47-30
20-10-2018,02-05-10-17-35-41-21
23-10-2018,01-03-06-13-21-30-36
25-10-2018,16-23-29-31-45-48-19
27-10-2018,08-09-15-21-44-49-16
30-10-2018,01-12-22-27-30-39-46
1-11-2018,03-11-15-42-44-54-41
3-11-2018,14-17-20-23-25-45-34
6-11-2018,19-22-23-43-47-53-03
8-11-2018,22-28-31-39-52-53-14
10-11-2018,03-05-19-22-29-39-15
13-11-2018,03-25-26-32-41-47-05
15-11-2018,13-16-21-40-49-52-54
17-11-2018,12-22-26-29-45-47-15
20-11-2018,09-23-33-40-44-49-17
22-11-2018,17-22-24-28-37-44-06
24-11-2018,03-10-11-25-40-54-17
27-11-2018,03-05-23-28-35-44-08
29-11-2018,10-23-27-42-51-52-20
1-12-2018,03-05-12-20-25-33-41
4-12-2018,10-13-16-23-30-49-24
6-12-2018,09-13-23-27-39-42-49
8-12-2018,03-06-09-31-48-54-53
11-12-2018,01-05-11-37-39-44-31
13-12-2018,02-11-14-36-49-55-53
15-12-2018,14-17-49-52-53-55-12
18-12-2018,01-09-15-17-25-26-08
20-12-2018,08-17-24-33-34-44-55
22-12-2018,03-08-16-35-39-52-29
25-12-2018,03-09-17-21-23-51-15
27-12-2018,05-20-33-42-43-50-40
29-12-2018,08-36-42-43-50-52-30
1-1-2019,02-19-21-27-37-46-12
3-1-2019,23-31-37-45-49-54-18
5-1-2019,10-11-38-47-53-55-51
8-1-2019,03-05-09-11-45-48-40
10-1-2019,12-22-31-35-40-47-08
12-1-2019,07-13-14-26-42-54-11
15-1-2019,04-06-13-22-29-30-52
17-1-2019,13-14-22-34-35-55-54
19-1-2019,13-29-42-46-51-53-36
22-1-2019,01-14-22-40-52-55-21
24-1-2019,31-35-38-44-49-55-24
26-1-2019,20-27-33-43-53-54-48
29-1-2019,15-20-26-41-45-55-10
31-1-2019,10-19-20-28-34-44-29
2-2-2019,11-23-27-35-36-46-37
5-2-2019,------
